Nitrogênio Foliar (g/kg),Fósforo(P) (mg/dm³),Potássio(K) (cmol c/dm³),Boro(B) (mg/dm³),Cálcio(Ca) (cmol c/dm³),Magnésio(Mg) (cmol c/dm³),Alumínio(Al) (cmol c/dm³),Sódio(Na) (cmol c/dm³),H+Al (cmol c/dm³),Zinco(Zn) (mg/dm³),Cobre(Cu) (mg/dm³),Manganês(Mn) (mg/dm³),"PRNT do calcário
",Classe
0.41,0.54,0.63,0.39,0.03,0.72,0.82,0.46,0.44,0.67,0.52,0.3,0.31,160
0.96,0.63,0.51,0.72,0.31,0.42,0.42,0.7,0.06,0.42,0.55,0.95,0.69,89
0.35,0.47,0.1,0.29,0.02,0.9,0.05,0.75,0.95,0.35,0.15,0.64,0.43,131
0.91,0.48,0.18,0.66,0.47,0.5,0.4,0.38,0.49,0.36,0.91,0.3,0.19,128
0.36,0.45,0.67,0.76,0.14,0.6,0.97,0.99,0.86,0.76,0.91,0.35,0.06,20
0.28,0.28,0.94,0.34,0.49,0.25,0.47,0.71,0.34,0.2,0.42,0.51,0.41,154
0.92,0.82,0.91,0.38,0.94,0.17,0.32,0.55,0.32,0.33,0.76,0.82,0.51,101
0.46,0.45,0.84,0.15,0.49,0.36,0.57,0.86,0.07,0.93,0.98,0.75,0.79,43
0.66,0.73,0.3,0.32,0.98,0.71,0.07,0.68,0.61,0.4,0.91,0.89,0.76,102
0.09,0.92,0.2,0.05,0.1,0.49,0.39,0.41,0.51,0.02,0.07,0.84,0.61,118
0.3,0.71,0.63,0.53,0.94,0.55,0.25,0.96,0.53,0.12,0.3,0.93,0.05,87
0.11,0.81,0.34,0.13,0.11,0.88,0.68,0.18,0.83,0.3,0.49,0.4,0.57,118
0.43,0.8,0.49,0.77,0.3,0.42,0.38,0.46,0.27,0.07,0.47,0.83,0.61,91
0.92,0.77,0.06,0.96,0.17,0.74,0.45,0.73,0.74,0.32,0.85,0.18,0.8,129
0.6,0.5,0.31,0.6,0.28,0.4,0.37,0.74,0.74,0.62,0.82,0.11,0.45,144
0.4,0.03,0.62,0.84,0.51,0.27,0.19,0.15,0.07,0.34,0.85,0.04,0.74,84
0.43,0.87,0.61,0.03,0.69,0.86,0.7,0.71,0.86,0.24,0.05,0.4,0.19,134
0.74,0.52,0.6,0.59,0.81,0.62,0.3,0.68,0.54,0.35,0.28,0.67,0.73,88
0.43,0.59,0.27,0.29,0.45,0.44,0.43,0.74,0.74,0.56,0.01,0.89,0.02,134
0.8,0.93,0.65,0.58,0.52,0.38,0.44,0.6,0.2,0.46,0.74,0.37,0.88,142
0.07,0.05,0.19,0.08,0.71,0.76,0.3,0.92,0.86,0.09,0.07,0.35,0.15,47
0.79,0.42,0.49,0.28,0.17,0.41,0.92,0.3,0.9,0.17,0.14,0.56,0.67,109
0.37,0.25,0.36,1.0,0.45,0.02,0.85,0.57,0.37,0.09,0.15,0.43,0.82,76
0.67,0.33,0.62,0.47,0.24,0.45,0.59,0.18,0.94,0.67,0.15,0.22,0.77,109
0.46,0.14,0.92,0.27,0.93,0.92,0.81,0.15,0.75,0.91,0.2,0.18,0.59,7
0.27,0.97,0.38,0.48,0.68,0.93,0.3,0.08,0.64,0.18,0.95,0.92,0.34,180
0.72,0.43,0.53,0.59,0.39,0.59,0.04,0.34,0.63,0.42,0.79,0.14,0.53,84
0.09,0.61,0.78,0.74,0.19,0.34,0.56,0.71,0.22,0.31,0.13,0.33,0.55,86
0.49,0.28,0.18,0.79,0.67,0.12,0.02,0.48,0.47,0.79,0.83,0.58,0.76,29
0.11,0.08,0.45,0.54,1.0,0.79,0.12,0.81,0.59,0.72,0.07,0.07,0.46,186
0.59,0.02,0.95,0.16,0.08,0.07,0.52,0.96,0.5,0.55,0.76,0.25,0.13,15
0.49,0.2,0.21,0.69,0.63,0.82,0.42,0.01,0.35,0.56,0.5,0.73,0.32,53
0.53,0.96,0.01,0.11,0.68,0.95,0.64,0.44,0.39,0.3,0.37,0.15,0.81,183
0.73,0.36,0.79,0.67,0.26,0.02,0.95,0.74,0.7,0.29,0.17,0.3,0.45,85
0.04,0.86,0.26,0.65,0.26,0.99,0.54,0.63,0.99,0.3,0.98,0.85,0.04,180
0.72,0.12,0.16,0.17,0.39,0.24,0.03,0.64,0.18,0.02,0.35,0.01,0.05,81
0.07,0.47,0.77,0.73,0.42,0.99,0.83,0.2,0.9,0.07,0.43,0.15,0.99,36
0.62,0.95,0.24,0.79,0.82,0.46,0.2,0.99,0.68,0.64,0.95,0.15,0.9,155
0.35,0.38,0.31,0.52,0.2,0.2,0.68,0.14,0.74,0.76,0.82,0.16,0.79,35
0.03,0.84,0.45,0.59,0.66,0.86,0.0,0.9,0.23,0.72,1.0,0.32,0.67,52
0.32,0.87,0.86,0.42,0.41,0.48,0.91,0.77,0.57,0.87,0.62,0.94,0.93,28
0.56,0.65,0.85,0.66,0.85,0.67,0.28,0.97,0.51,0.5,0.68,0.34,0.2,87
0.45,0.49,0.65,0.01,0.73,0.88,0.64,0.75,0.79,0.67,0.17,0.18,0.69,7
0.98,0.34,0.37,0.23,0.03,0.67,0.44,0.65,0.23,0.92,0.97,0.98,0.76,3
0.05,0.93,0.39,0.93,0.45,0.65,0.92,0.42,0.62,0.03,0.23,0.64,0.72,105
0.75,0.65,0.57,0.34,0.85,0.53,0.01,0.64,0.51,0.54,0.01,0.59,1.0,184
0.18,0.53,0.1,0.47,0.37,0.12,0.51,0.57,0.73,0.93,0.01,0.64,0.33,32
0.33,0.28,0.21,0.51,0.75,0.45,0.59,0.46,0.89,0.46,0.64,0.77,0.59,5
0.33,0.64,0.83,0.27,0.38,0.53,0.79,0.84,0.58,0.91,0.8,0.97,0.53,4
0.06,0.45,0.67,0.75,0.65,0.77,0.03,0.63,0.08,0.29,0.22,0.97,0.3,74
0.42,0.35,0.85,0.21,0.59,0.75,0.66,0.39,0.5,0.57,0.86,0.48,0.0,163
0.37,0.76,0.03,0.55,0.52,0.38,0.73,0.01,0.34,0.53,0.04,0.06,0.19,188
0.78,0.56,0.18,0.58,0.38,0.27,0.44,0.9,0.1,0.14,0.19,0.77,0.85,89
0.74,0.36,0.98,0.1,0.07,0.18,0.17,0.29,0.19,0.73,0.56,0.39,0.25,79
0.16,0.81,0.32,0.52,0.9,0.35,0.26,0.26,0.23,0.25,0.13,0.42,0.45,77
0.54,0.32,0.94,0.4,0.81,0.46,0.7,0.18,0.56,0.87,0.77,0.3,0.03,112
0.62,0.8,0.89,0.37,0.41,0.7,0.28,0.12,0.25,0.99,0.77,0.98,0.6,39
0.68,0.99,0.12,0.84,0.51,0.39,0.5,0.71,0.79,0.98,0.95,0.86,0.55,102
0.95,0.6,0.75,0.67,1.0,0.72,0.41,0.41,0.17,0.56,0.58,0.4,0.96,40
0.17,0.78,0.24,0.12,0.44,0.62,0.64,0.06,0.7,0.93,0.86,0.27,0.37,190
0.58,0.18,0.07,0.04,0.39,0.68,0.45,0.5,0.85,0.04,0.88,0.96,0.07,195
0.18,0.82,0.98,0.99,0.11,0.23,0.32,0.21,0.76,0.53,0.02,0.24,0.85,23
0.46,0.49,0.66,0.76,0.59,0.28,0.94,0.53,0.48,0.05,0.92,0.14,0.57,127
0.13,0.68,0.09,0.07,0.32,0.43,0.3,0.43,0.01,0.1,0.57,0.26,0.71,93
0.81,0.16,0.07,0.09,0.9,0.71,0.53,0.09,0.35,0.3,0.31,0.8,0.22,82
0.26,0.91,0.36,0.72,0.77,0.21,0.71,0.88,0.86,0.58,0.59,0.89,0.33,19
0.58,0.45,0.97,0.55,0.76,0.31,0.55,0.8,0.03,0.5,0.61,0.07,0.52,127
0.88,0.26,0.82,0.73,0.48,0.69,0.54,0.44,0.86,0.95,0.01,0.68,0.93,25
0.36,0.19,0.79,0.64,0.68,0.36,0.88,0.42,0.48,0.45,0.83,0.34,0.42,112
0.11,0.91,0.42,0.1,0.03,0.61,0.88,0.32,0.82,0.79,0.93,0.26,0.28,190
0.83,0.87,0.13,0.29,0.37,0.39,0.69,0.87,0.11,0.07,0.69,0.85,0.58,100
0.71,0.07,0.18,0.21,0.28,0.42,0.36,0.46,0.56,0.39,0.11,0.6,0.19,95
0.98,0.12,0.88,0.53,0.84,0.84,0.29,0.92,0.26,0.06,0.05,0.64,0.43,81
0.43,0.41,0.0,0.58,0.77,0.95,0.96,0.92,0.44,0.82,0.32,0.86,0.0,158
0.03,0.57,0.21,0.4,0.4,0.52,0.96,0.91,0.49,0.21,0.01,0.9,0.24,134
0.67,0.27,0.49,0.54,0.04,0.14,0.94,0.39,0.18,0.51,0.97,0.13,0.28,127
0.35,0.81,0.71,0.61,0.98,0.08,0.28,0.77,0.98,0.18,0.04,0.02,0.73,71
0.66,0.77,0.91,0.28,0.13,0.44,0.28,0.58,0.72,0.3,0.37,0.77,0.06,135
0.62,0.59,0.64,0.17,0.11,0.63,0.28,0.61,0.87,0.34,0.45,0.48,0.87,117
0.22,0.88,0.09,0.76,0.42,0.56,0.97,0.17,0.59,0.51,0.57,0.89,0.82,104
0.62,0.11,0.72,0.85,0.63,0.72,0.47,0.24,0.67,0.52,0.88,0.21,0.03,98
0.38,0.47,0.32,0.56,0.69,0.22,0.89,0.92,0.93,0.82,0.44,0.92,0.83,18
0.02,0.61,0.92,0.12,0.53,0.23,0.1,0.88,0.28,0.75,0.33,0.74,0.84,73
0.79,0.51,0.64,0.07,0.07,0.58,0.09,0.23,0.12,0.31,0.41,0.83,0.03,68
0.68,0.18,0.86,0.96,0.08,0.62,0.22,0.55,0.89,0.79,0.6,0.98,0.55,29
0.66,0.73,0.99,0.19,0.94,1.0,0.05,0.11,0.93,0.96,0.48,0.42,0.2,164
0.91,0.49,0.95,0.64,0.8,0.03,0.06,0.15,0.14,0.07,0.48,0.32,0.94,70
0.8,0.74,0.51,0.93,0.51,0.15,0.91,0.3,0.18,0.16,0.02,0.74,0.24,90
0.76,0.62,0.15,0.5,0.9,0.93,0.3,0.39,0.92,0.58,0.65,0.31,0.39,193
0.53,0.84,0.56,0.28,0.09,0.82,0.73,0.39,0.41,0.89,0.04,0.98,0.8,38
0.66,0.28,0.09,0.9,0.49,0.46,0.87,0.5,0.42,0.51,0.02,0.4,0.19,158
0.43,0.72,0.49,0.87,0.67,0.57,0.68,0.24,0.77,0.98,0.28,0.35,0.65,8
0.13,0.57,0.57,0.1,0.87,0.34,0.96,0.18,0.59,0.13,0.81,0.26,1.0,56
0.63,0.09,0.77,0.24,0.84,0.13,0.71,0.2,0.31,0.61,0.33,0.93,0.58,11
0.73,0.38,0.58,0.45,0.47,0.08,0.81,0.39,0.61,0.35,0.5,0.96,0.93,11
0.99,0.35,0.4,0.57,0.46,0.31,0.58,0.21,0.84,0.92,0.64,0.42,0.52,30
0.08,0.12,0.36,0.74,0.81,0.37,0.09,0.43,0.92,0.43,0.02,0.14,0.74,63
0.59,0.28,0.48,0.69,0.36,0.05,0.16,0.43,0.28,0.13,0.83,0.56,0.7,70
0.48,1.0,0.44,0.59,0.85,0.66,0.41,0.9,0.88,0.45,0.39,0.08,0.7,155
0.06,0.69,0.43,0.06,0.89,0.04,0.37,0.82,0.91,0.74,0.9,0.54,0.88,4
0.31,0.25,0.6,0.46,0.1,0.79,0.82,0.19,0.36,0.83,0.06,0.57,0.96,38
0.67,0.15,0.95,0.35,0.75,0.09,0.4,0.91,0.46,0.99,0.93,0.88,0.77,43
0.09,0.56,0.54,0.75,0.49,0.95,0.28,0.6,0.92,0.58,0.16,0.33,0.36,64
0.14,0.96,0.1,0.98,0.27,0.32,0.85,0.41,0.47,0.96,0.51,0.02,0.74,156
0.34,0.75,0.51,0.55,0.09,0.3,0.3,0.02,0.59,0.41,0.18,0.03,0.38,108
0.7,0.52,0.67,0.41,0.92,0.22,0.95,0.37,0.58,0.77,0.63,0.59,0.92,11
0.52,0.8,0.27,0.54,0.41,0.43,0.48,0.99,0.11,0.92,0.44,0.62,0.84,170
0.24,0.96,0.62,0.35,0.44,0.53,0.2,0.52,0.52,0.45,0.82,0.38,0.08,180
0.24,0.42,0.17,0.31,0.87,0.05,0.73,0.03,0.41,0.36,0.68,0.93,0.09,182
0.2,0.89,0.7,0.17,0.1,0.26,0.72,0.21,0.12,0.32,0.95,0.91,0.87,42
0.83,0.58,0.36,0.49,0.19,0.25,0.62,0.61,0.11,0.22,0.72,0.73,0.06,1
0.33,0.02,0.47,0.73,0.83,0.3,0.38,0.33,0.18,0.05,0.45,0.98,0.35,75
0.64,0.23,0.55,0.61,0.69,0.53,0.15,0.36,0.37,0.89,0.59,0.82,0.95,39
0.15,0.15,0.78,0.46,0.72,0.43,0.11,0.68,0.33,0.67,0.83,0.52,0.52,74
0.52,0.12,0.15,0.17,0.42,0.41,0.38,0.7,0.48,0.97,0.46,0.62,0.48,17
0.52,0.78,0.23,0.81,0.06,0.15,0.96,0.24,0.03,0.83,0.07,0.13,0.73,157
0.31,0.2,0.9,0.76,0.12,0.95,0.59,0.91,0.06,0.13,0.14,0.57,0.73,140
0.8,0.05,0.73,0.69,0.9,0.78,0.88,0.53,0.68,0.56,0.58,0.84,0.86,26
0.84,0.01,0.24,0.46,0.54,0.27,0.41,0.33,0.17,0.33,0.77,0.34,0.21,83
0.31,0.54,0.4,0.0,0.35,0.32,0.85,0.61,0.75,0.42,0.73,0.53,0.81,132
0.91,0.08,0.01,0.27,0.19,0.04,0.97,0.85,0.16,0.21,0.35,0.67,0.8,2
0.03,0.64,0.06,0.72,0.33,0.44,0.08,0.11,0.38,0.5,0.62,0.35,0.85,51
0.54,0.21,0.32,0.98,0.07,0.98,0.68,0.28,0.65,0.42,0.53,0.9,0.77,104
0.66,0.32,0.78,0.1,0.59,0.32,0.82,0.05,0.86,0.2,0.32,0.1,0.26,96
0.18,0.94,0.62,0.06,0.87,0.39,0.92,0.47,0.44,0.54,0.45,0.41,0.44,7
0.04,0.57,0.16,0.89,0.83,0.4,0.29,0.02,0.97,0.32,0.04,0.83,0.51,77
0.68,0.44,0.79,0.66,0.88,0.5,0.89,0.99,0.3,0.68,0.15,0.22,0.36,171
0.67,0.63,0.02,0.17,0.41,0.72,0.77,0.67,0.95,0.73,0.21,0.46,0.39,131
0.76,0.99,0.61,0.3,0.66,0.41,0.22,0.6,0.48,0.93,0.09,0.1,0.32,185
0.48,0.31,0.32,0.95,0.08,0.19,0.75,0.22,0.54,0.09,0.38,0.67,0.14,125
0.6,0.62,0.06,1.0,0.71,0.81,0.37,0.36,0.02,0.63,0.89,0.87,0.82,53
0.73,0.94,0.09,0.81,0.94,0.07,0.85,0.55,0.78,0.27,0.04,0.98,0.72,169
0.2,0.56,0.58,0.37,0.5,0.5,0.44,0.24,0.74,0.1,0.55,0.74,0.78,119
0.82,0.71,0.66,0.97,0.59,0.67,0.42,0.94,0.67,0.46,0.69,0.06,0.26,71
0.92,0.36,0.52,0.53,0.84,0.72,0.18,0.84,0.99,0.76,0.5,0.64,0.73,102
0.18,0.79,0.64,0.85,0.62,0.42,0.97,0.48,0.26,0.95,0.43,0.88,0.55,38
0.38,0.07,0.22,0.02,0.43,0.04,0.96,0.92,0.27,0.09,0.52,0.76,0.04,1
0.59,0.4,0.47,0.7,0.14,0.39,0.94,0.4,0.31,0.67,0.75,0.71,0.76,42
0.01,0.12,0.59,0.31,0.45,0.83,0.1,0.72,0.76,0.31,0.71,0.29,0.86,50
0.87,0.64,0.44,0.47,0.37,0.66,0.31,0.65,0.38,0.04,0.16,0.12,0.5,81
0.91,0.45,0.73,0.01,0.79,0.63,0.07,0.04,0.39,0.04,0.53,0.47,0.22,82
0.15,0.57,0.96,0.16,0.59,0.23,0.77,0.79,0.55,0.68,0.42,0.99,0.91,73
0.29,0.14,0.46,0.66,0.84,0.9,0.56,0.13,0.79,0.5,0.72,0.87,0.96,26
0.82,0.2,0.54,0.58,0.52,0.05,0.42,0.81,0.67,0.31,0.17,0.23,0.08,95
0.94,0.8,0.64,0.44,0.57,0.89,0.48,0.24,0.93,0.76,0.03,0.02,0.1,185
0.94,0.8,0.8,0.21,0.49,0.14,0.76,0.19,0.83,0.53,0.46,0.98,0.03,149
0.65,0.37,0.6,0.23,0.22,0.62,0.4,0.38,0.6,0.51,0.08,0.21,0.07,95
0.68,0.26,0.93,0.62,0.05,0.57,0.07,0.74,0.5,0.62,0.14,0.41,0.11,72
0.02,0.85,0.76,0.36,0.94,0.94,0.5,0.25,0.9,0.5,0.21,0.33,0.32,178
0.79,0.28,0.79,0.25,0.88,0.44,0.66,0.92,0.23,0.23,0.06,0.24,0.65,81
0.15,0.51,0.83,0.58,0.08,0.65,0.97,0.6,0.73,0.43,0.52,0.43,0.26,125
0.03,0.82,0.84,0.71,1.0,0.5,0.34,0.33,0.04,0.04,0.99,0.58,0.18,92
0.51,0.28,0.99,0.73,0.63,0.82,0.06,0.47,0.04,0.7,0.58,0.64,0.92,39
0.96,0.48,0.45,0.63,0.73,0.41,0.14,0.12,0.64,0.13,0.87,0.65,0.09,151
0.0,0.46,0.16,0.11,0.09,0.92,0.25,0.9,0.13,0.47,0.57,0.2,0.0,187
0.54,0.53,0.92,0.72,0.15,0.44,0.09,0.28,0.66,0.99,0.65,0.23,0.39,98
0.56,0.03,0.26,0.11,0.33,0.36,0.97,0.38,0.73,0.53,0.47,0.5,0.25,161
0.84,0.45,0.21,0.95,0.78,0.96,0.36,0.69,0.5,0.23,0.44,0.59,0.75,103
0.65,0.4,0.15,0.44,0.97,0.16,0.73,0.41,0.83,0.92,0.54,0.82,0.12,5
0.67,0.28,0.27,0.88,0.51,0.79,0.08,0.72,0.56,0.35,0.23,0.64,0.33,88
0.67,0.08,0.04,0.82,0.97,0.92,0.64,0.81,0.65,0.04,0.28,0.26,0.71,47
0.68,0.2,0.03,0.61,0.91,0.09,0.01,0.32,0.15,0.23,0.53,0.99,0.21,75
0.69,0.06,0.56,0.35,0.45,0.16,0.66,0.1,0.87,0.39,0.24,0.92,0.5,123
0.52,0.17,0.0,0.08,0.94,0.52,0.71,0.61,0.1,0.55,0.68,0.93,0.96,3
0.42,0.65,0.04,0.78,0.52,0.74,0.86,0.79,0.66,0.96,0.69,0.86,0.04,19
0.27,0.12,0.94,0.63,0.54,0.59,0.72,0.01,0.22,0.51,0.3,0.31,0.23,111
0.64,0.52,0.19,0.8,0.49,0.97,0.42,0.13,0.31,0.44,0.63,0.45,0.01,173
0.21,0.01,0.33,0.49,0.97,0.72,0.95,0.41,0.72,0.91,0.27,0.53,0.02,6
0.93,0.93,0.53,0.05,0.38,0.12,0.61,0.76,0.62,0.66,0.63,0.71,0.23,162
0.86,0.78,0.45,0.82,0.78,0.75,0.55,0.66,0.92,0.43,0.63,0.55,0.12,193
0.5,0.3,0.3,0.3,0.15,0.37,0.95,0.72,0.33,0.59,0.58,0.31,0.13,144
0.05,0.61,0.59,0.75,0.44,0.43,0.7,0.48,0.76,0.84,0.52,0.9,0.25,19
0.99,0.77,0.12,0.39,0.81,0.13,0.76,0.13,0.37,0.46,0.87,0.11,0.75,141
0.81,0.29,0.68,0.45,0.14,0.02,0.75,0.64,0.53,0.17,0.43,0.84,0.39,1
0.42,0.27,0.63,0.01,0.26,0.33,0.83,0.62,0.63,0.7,0.69,0.51,0.05,161
0.8,0.77,0.53,0.85,0.34,0.95,0.56,0.63,0.35,0.43,0.44,0.76,0.08,88
0.18,0.73,0.09,0.48,0.38,0.26,0.88,0.72,0.19,0.11,0.61,0.91,0.03,100
0.39,0.13,0.49,0.54,0.86,0.67,0.53,0.49,0.49,0.2,0.29,0.71,0.31,47
0.13,0.24,0.36,0.27,0.58,0.31,0.34,0.35,0.71,0.42,0.57,0.08,0.34,196
0.08,0.66,0.66,0.06,0.65,0.19,0.4,0.16,0.74,0.78,0.54,0.26,0.22,121
0.13,0.44,0.11,0.08,0.22,0.36,0.91,0.24,0.19,0.81,0.24,0.36,0.03,188
0.11,0.21,0.17,0.45,0.42,0.85,0.36,0.17,0.46,0.63,0.44,0.12,0.98,51
0.56,0.6,0.23,0.49,0.95,0.19,0.59,0.85,0.82,0.73,0.91,0.2,0.91,155
0.33,0.71,0.13,0.2,0.31,0.17,0.83,0.14,0.28,0.57,0.83,0.7,0.59,175
0.33,0.79,0.31,0.03,0.97,0.02,0.23,0.95,0.06,0.07,0.93,0.11,0.52,155
0.02,0.77,0.58,0.17,0.58,0.2,0.83,0.44,0.85,0.03,0.81,0.22,0.31,99
0.57,0.73,0.03,0.63,0.73,0.66,0.65,0.01,0.58,0.22,0.08,0.52,0.14,77
0.33,0.18,0.69,0.07,0.06,0.78,0.57,0.15,0.17,0.55,0.31,0.16,0.33,96
0.1,0.41,0.44,0.64,0.47,0.97,0.64,0.91,0.34,0.17,0.87,0.69,0.51,145
0.85,0.11,0.45,0.33,0.88,1.0,0.48,0.73,0.52,0.47,0.53,0.33,0.25,81
0.62,0.02,0.9,0.53,0.77,0.34,0.26,0.48,0.96,0.92,0.65,0.33,0.99,44
0.6,0.1,0.34,0.5,0.7,0.99,0.44,0.18,0.21,0.08,0.78,0.92,0.75,54
0.35,0.74,0.5,0.71,0.64,0.09,0.77,0.88,0.89,0.53,0.25,0.44,0.3,85
0.18,0.86,0.31,0.98,0.49,0.72,0.88,0.48,0.27,0.4,0.43,0.06,0.07,159
0.12,0.25,0.64,0.96,0.03,0.67,0.56,0.4,0.22,0.57,0.89,0.84,0.61,52
0.6,0.78,0.26,0.97,0.04,0.78,0.12,0.75,0.58,0.7,0.75,0.9,0.8,103
0.98,0.73,0.95,0.35,0.56,0.55,0.71,0.03,0.8,0.72,0.11,0.45,0.33,150
0.9,0.75,0.49,0.09,0.95,0.56,0.97,0.68,0.84,0.88,0.35,0.53,0.96,7
0.41,0.98,0.5,0.6,0.98,0.87,0.32,0.06,0.95,0.42,0.88,0.41,0.04,192
0.49,0.89,0.45,0.36,0.81,0.97,0.53,0.49,0.63,0.9,0.79,0.6,0.22,177
0.97,0.36,0.97,0.3,0.56,0.13,0.99,0.12,0.27,0.21,0.82,0.07,0.06,127
0.79,0.11,0.24,0.8,0.7,0.1,0.28,0.53,0.58,0.93,0.73,0.62,0.42,30
0.16,0.61,0.53,0.85,0.32,0.2,0.54,0.17,0.69,0.01,0.68,0.14,0.21,106
0.26,0.59,0.14,0.54,0.3,0.29,0.88,0.37,0.29,0.69,0.83,0.54,0.97,189
0.55,0.25,0.27,0.91,0.66,0.73,0.12,0.49,0.22,0.57,0.95,0.67,0.77,53
0.3,0.02,0.58,0.95,0.96,0.39,0.47,0.97,0.48,0.07,0.43,0.74,0.16,61
0.29,0.89,0.54,0.25,0.9,0.78,0.96,0.19,0.64,0.69,0.04,0.33,0.92,7
0.93,0.02,0.28,0.55,0.33,0.36,0.48,0.76,0.66,0.48,0.55,0.18,0.53,16
0.41,0.57,0.95,0.38,0.75,0.68,0.87,0.93,0.2,0.19,0.52,0.22,0.21,86
0.37,0.71,0.08,0.87,0.16,0.87,0.8,0.42,0.17,0.03,0.43,0.83,0.67,104
0.91,0.25,0.56,0.11,0.17,0.15,0.8,0.54,0.57,0.37,0.42,0.03,0.48,95
0.73,0.25,0.67,0.92,0.43,0.46,0.62,0.1,0.69,0.84,0.14,0.55,0.77,24
0.55,0.46,0.95,0.59,0.44,0.69,0.13,0.42,0.83,0.44,0.11,0.53,0.34,137
0.28,0.58,0.79,0.84,0.28,0.71,0.67,0.08,0.19,0.3,0.14,0.64,0.44,111
0.94,0.99,0.41,0.63,0.7,0.29,0.54,0.5,0.27,0.02,0.54,0.36,0.25,114
0.79,0.19,0.16,0.35,0.35,0.77,0.59,0.59,0.14,0.93,0.46,0.52,0.05,174
0.32,0.77,0.67,0.62,0.6,0.63,0.83,0.21,0.01,0.56,0.06,0.46,0.08,111
0.35,0.56,0.17,0.69,0.49,0.22,0.15,0.34,0.39,0.52,0.61,0.96,0.46,76
0.03,0.35,0.01,0.07,0.26,0.27,0.06,0.77,0.11,0.76,0.37,0.21,0.08,188
0.06,0.22,0.11,0.94,0.91,0.74,0.17,0.34,0.84,0.25,0.72,0.09,0.36,47
0.71,0.16,0.39,0.59,0.7,0.22,0.18,0.04,0.18,0.71,0.94,0.69,0.34,98
0.51,0.53,0.99,0.86,0.81,0.5,0.99,0.8,0.34,0.7,0.3,0.86,0.9,26
0.25,0.47,0.27,0.0,0.3,0.55,0.99,0.61,0.82,0.77,0.62,0.89,0.78,132
0.52,0.89,0.46,0.93,0.2,0.36,0.64,0.12,0.98,0.75,0.07,0.53,0.84,23
0.15,0.09,0.2,0.21,0.55,0.94,0.75,0.2,0.54,0.94,0.41,0.88,0.88,38
0.75,0.65,0.73,0.98,0.4,0.64,0.21,0.44,0.4,0.86,0.4,0.47,0.48,39
0.7,0.21,0.95,0.22,0.89,0.95,0.88,0.13,0.55,0.85,0.01,0.88,0.65,11
0.16,0.17,0.9,0.1,0.58,0.66,0.64,0.76,0.51,0.93,0.66,0.29,0.96,7
0.34,0.34,0.87,0.83,0.47,0.33,0.02,0.97,0.9,0.46,0.1,0.34,0.92,59
0.61,0.14,0.09,0.58,0.4,0.25,0.46,0.5,0.63,0.76,0.8,0.6,0.93,31
0.04,0.59,0.98,0.86,0.56,0.25,0.3,0.81,0.83,0.96,0.0,0.19,0.42,8
0.93,0.49,0.36,0.12,0.12,0.16,0.34,0.22,0.11,0.13,0.36,0.27,0.01,82
0.68,0.97,0.78,0.58,0.14,0.94,0.81,0.0,0.47,0.33,0.54,0.33,0.48,14
0.89,0.34,0.29,0.28,0.93,0.89,0.59,0.7,0.4,0.92,0.17,0.96,0.96,3
0.74,0.48,0.39,0.39,0.79,0.81,0.81,0.01,0.91,0.06,0.81,0.63,0.73,12
0.42,0.96,0.59,0.28,0.98,0.67,0.32,0.68,0.26,0.47,0.43,0.56,0.74,184
0.8,0.36,0.74,0.56,0.48,0.36,0.53,0.8,0.23,0.96,0.99,0.33,0.76,43
0.36,0.11,0.15,0.4,0.78,0.31,0.63,0.89,0.53,0.24,0.21,0.17,0.56,47
0.34,0.89,0.54,0.08,0.79,0.68,1.0,0.92,0.01,0.99,0.11,0.56,0.24,171
